YOR224C	YJL140W
YCR009C	YMR192W
YPL090C	YKR048C
YDL182W	Q0055
YGR170W	YNL264C
YEL056W	YHR118C
YPR161C	YMR162C
YGL097W	YLR172C
YDR172W	YKR054C
YDR037W	YDR459C
YPL047W	YPL254W
YKL061W	YLR408C
YPR161C	YLR219W
YPR161C	YER131W
YDR075W	YBL002W
YOL109W	YKL015W
YIL035C	YDL215C
YML010W	YOR210W
YLR222C	YKL210W
YIL069C	YKR042W
YPR133C	YGR116W
YDR074W	YOR074C
YOL013C	YLR249W
YNL313C	YDR171W
YKR010C	YGL253W
YCR008W	YGR086C
YDR036C	YGL060W
YBL074C	YHR165C
YNL250W	YBL030C
YIL070C	YDR310C
YIL070C	YNL306W
YML131W	YML109W
YJL047C	YDR306C
YGL025C	YPR070W
YEL037C	YGL106W
YNL175C	YDR392W
YPL239W	YKR026C
YLR429W	YER036C
YOL013C	YHR179W
YJL098W	YGR090W
YLR244C	YDR174W
YML041C	YLR085C
YDL147W	YBR150C
YBR058C	YDR388W
YER050C	YHL004W
YEL037C	YBR072W
YGL061C	YMR308C
YIL098C	YKL192C
YDL040C	YJL033W
YGR237C	YLR175W
YBL038W	YKR006C
YJL033W	YMR290C
YER131W	YMR031C
YOL004W	YLR223C
YOR244W	YBR010W
YKL173W	YPR182W
YCR092C	YNL312W
YNL186W	YGL027C
YER148W	YMR005W
YKR025W	YPR110C
YKL092C	YLR182W
YGR196C	YOR061W
YOR272W	YDL014W
YMR304W	YCR011C
YKL112W	YOR324C
YIR015W	YAL033W
YLL002W	YDR388W
YBR167C	YNL221C
YIL043C	YLR259C
YBL056W	YBL079W
YEL018W	YPR023C
YOR091W	YOR361C
YOL013C	YDR127W
YGR086C	YKR092C
YEL037C	YBR234C
YLL022C	YIL148W
YGL207W	YGL171W
YIL039W	YDR388W
YIL076W	YGR204W
YGR233C	YBR160W
YDL055C	YOR375C
YBL045C	YHR114W
YGR135W	YJR143C
YLR424W	YJR110W
YKL155C	YHL004W
YHL032C	YDR087C
YOL013C	YJL138C
YDR427W	YDR109C
YMR049C	YMR250W
YDL040C	YDL014W
YLR039C	YDR137W
YDR172W	YOL023W
YKL112W	YPL137C
YER155C	YCL043C
YDL182W	YBL091C
YKL088W	YKL197C
YDL134C	YDL014W
YLR418C	YNL272C
YDR386W	YBR100W
YLR200W	YGL151W
YIL126W	YPR034W
YPL138C	YOR361C
YPR161C	YCL011C
YOR157C	YBR225W
YCR060W	YDL014W
YBR193C	YGR167W
YJL047C	YBL060W
YCR052W	YCL040W
YDR172W	YGL006W
YGR135W	YOL038W
YKL022C	YDR118W
YAR007C	YEL030W
YJR043C	YBR072W
YBL003C	YOR058C
YDR496C	YLR197W
YGL087C	YAL001C
YHL002W	YNR006W
YFR010W	YCR014C
YMR291W	YDR263C
YOL005C	YOR210W
YKL215C	YFR055W
YDR172W	YNL098C
YLR435W	YBR238C
YDR363W	YBR079C
YOL004W	YBR009C
YER073W	YHR087W
YLR022C	YDR381W
YMR135C	YBR105C
YDR363W	YJL033W
YOL126C	YKR071C
YNL031C	YBR009C
YGR245C	YLR380W
YJR022W	YOR159C
YGR187C	YDR385W
YBL003C	YHR089C
YCR087C-A	YLL004W
YCR003W	YDR322W
YOR308C	YNL240C
YJR010C-A	YMR229C
YMR005W	YIL016W
YBL052C	YBL003C
YLR455W	YDR496C
YCR060W	YHR034C
YCL040W	YLR069C
YLR022C	YER006W
YIR010W	YPL233W
YPL231W	YKL182W
YIL035C	YMR230W
YPR161C	YDL213C
YNL308C	YDR381W
YLR380W	YOR355W
YDR195W	YLR115W
YIL035C	YHL009W-B
YDR363W-A	YER021W
YMR180C	YPL231W
YFR037C	YML127W
YBR084W	YIL152W
YOR252W	YPR047W
YDR346C	YLR347C
YGR104C	YOL084W
YBR131W	YGL124C
YHR041C	YGL127C
YPL004C	YMR120C
YPL090C	YPL172C
YNL175C	YMR229C
YDR507C	YPR160W
YML057W	YPR196W
YFR034C	YFL014W
YMR016C	YBL063W
YDL019C	YDR060W
YJL109C	YPL001W
YDL111C	YNL189W
YML114C	YGR274C
YHL002W	YBL097W
YHL004W	YDR175C
YHR183W	YGR256W
YBR001C	YBR109C
YGL234W	YJR139C
YLR249W	YGL251C
YBL084C	YLR127C
YNL021W	YKL134C
YKL126W	YBR083W
YDR148C	YIL125W
YPR162C	YLR175W
YPL069C	YLR249W
YDR462W	YDR381W
YIL070C	YDL045W-A
YIL070C	YDR494W
YIL070C	YFL044C
YIL070C	YHL004W
YIL070C	YNL137C
YDL145C	YPL010W
YLR320W	YLR259C
YML093W	YLR380W
YOR027W	YOR086C
YML069W	YOR061W
YPL249C	YMR309C
YDL241W	YKL157W
YML034W	YHR121W
YIL043C	YOL012C
YGR207C	YPL217C
YLR200W	YMR224C
YNL209W	YBL002W
YPL209C	YLR175W
YNL073W	YCR016W
YIL148W	YDR510W
YOL056W	YDL021W
YGR086C	YDR190C
YBR062C	YMR083W
YER022W	YDR422C
YGR104C	YJL050W
YER164W	YMR229C
YDR234W	YLR058C
YGL099W	YJL141C
YDR167W	YPL254W
YPL055C	YBR245C
YDR054C	YFR050C
YGL227W	YMR124W
YPL002C	YBR025C
YBR112C	YNL311C
YGR173W	YBR080C
YFR017C	YDR099W
YNL262W	YGR059W
YKL088W	YPR088C
YPR034W	YMR159C
YIL034C	YLR249W
YDR172W	YJR162C
YKL157W	YER064C
YJL087C	YER187W-A
YDL040C	YNL132W
YNR036C	YMR188C
YKL018W	YLR277C
YDL240W	YGL106W
YLR119W	YAR044W
YDL003W	YJL074C
YEL037C	YJL080C
YER133W	YDR474C
YDR174W	YML049C
YER162C	YER062C
YPR073C	YFR053C
YDR054C	YPR164W
YNL250W	YJR009C
YDR322W	YDR462W
YGR253C	YML092C
YDR111C	YER147C
YER050C	YDR175C
YPR161C	YAR010C
YPR131C	YMR111C
YPR093C	YMR186W
YDR153C	YPR189W
YPL003W	YJR009C
YIL026C	YBL003C
YHR027C	YPL240C
YJL080C	YLR249W
YDR533C	YNR001C
YDL060W	YIL091C
YGR207C	YNR058W
YMR109W	YKL129C
YPR164W	YBR072W
YGL234W	YHR184W
YDR486C	YLR181C
YCR087C-A	YBR010W
YHR024C	YLR163C
YDR363W-A	YKL145W
YDR118W	YLR102C
YGL120C	YGL078C
YGR063C	YCL074W
YIR007W	YNL023C
YBR065C	YMR146C
YKR022C	YCL047C
YNL186W	YNL209W
YDL182W	YKR062W
YER021W	YPL002C
YIL026C	YDR155C
YDR054C	YGL205W
YHR172W	YNL126W
YGL200C	YFR015C
YIL069C	YBR044C
YEL015W	YNL118C
YKL028W	YPR067W
YPR114W	YDR166C
YLL029W	YDL171C
YFR044C	YKL087C
YJR010C-A	YER131W
YOR308C	YBR055C
YPR175W	YBR185C
YLR354C	YMR104C
YOR057W	YCR032W
YBR065C	YKL081W
YNL023C	YOR326W
YNL045W	YFL010C
YBR082C	YOR294W
YGR240C	YMR205C
YER155C	YDL047W
YER098W	YLR403W
YMR284W	YBL003C
YDR101C	YDR212W
YIR003W	YKL007W
YMR193W	YNR022C
YGR104C	YLR347C
YDL134C	YKR081C
YGR206W	YLR119W
YJR060W	YDR337W
YIR012W	YDL147W
YDL076C	YNL189W
YDL182W	YPL108W
YDL134C	YPL146C
YIL148W	YLR347C
YDL143W	YDR188W
YLR231C	YPL231W
YDL216C	YPR161C
YPR161C	YPL127C
YGR095C	YER143W
YMR263W	YAL013W
YCR043C	YLR429W
YGL227W	YBL008W
YGL070C	YBR101C
YNL244C	YDR388W
YNL186W	YLR175W
YGR245C	YBL003C
YIL148W	YNR051C
YLR370C	YDL029W
YDR362C	YDR099W
YLR320W	YBR009C
YLL022C	YPL001W
YDR283C	YDR181C
YPR023C	YNL189W
YER095W	YOR174W
YLR096W	YDR388W
YPL226W	YEL026W
YGL207W	YOL145C
YFL013C	YPL235W
YJR113C	YKL155C
YOR023C	YDR176W
YOL012C	YJR090C
YBL071W-A	YGR258C
YIL034C	YGR125W
YKL212W	YEL034W
YAL016W	YML109W
YIL033C	YDR388W
YER133W	YCRX13W
YNL045W	YPL003W
YLR435W	YER162C
YPR045C	YPR052C
YPR161C	YGR126W
YDR075W	YOR133W
YFR031C	YDL215C
YJL115W	YOR038C
YDL147W	YHR200W
YLL060C	YBR109C
YGR074W	YDR089W
YKL117W	YBR170C
YDL241W	YLR277C
YML065W	YPR162C
YGL207W	YGR244C
YCR060W	YNL106C
YIL148W	YKR001C
YNL031C	YKL112W
YBR215W	YOR038C
YPL190C	YEL055C
YFR017C	YPR184W
YHR200W	YKL145W
YOR035C	YPL004C
YLR147C	YBR055C
YER073W	YDR381W
YOR124C	YOL083W
YGR095C	YCR035C
YKL018W	YDR388W
YDL095W	YGL008C
YFR015C	YNL181W
YGL207W	YGL173C
YCR059C	YNL004W
YFR050C	YPR103W
YBR125C	YBR169C
YDR069C	YOR177C
YOR027W	YEL031W
YLR455W	YKL172W
YLR455W	YNL248C
YGR124W	YBL039C
YGL213C	YPR189W
YNL138W	YJL005W
YDR075W	YKL054C
YNL189W	YMR290C
YML010W	YKR010C
YAL029C	YML096W
YDR457W	YGR218W
YER131W	YNL248C
YCR084C	YKL213C
YBL002W	YDR174W
YLR429W	YAL019W
YDL040C	YDR381W
YDR496C	YPR169W
YGL213C	YOR294W
YOR061W	YGR266W
YIR008C	YKR048C
YLL029W	YBR058C
YLR381W	YBR211C
YBR060C	YLR150W
YKL216W	YDL056W
YNL031C	YML069W
YPR049C	YPL166W
YHR087W	YDR145W
YHR090C	YDR174W
YDL076C	YNL107W
YDR074W	YCR030C
YIL103W	YNL055C
YBL026W	YMR268C
YFR010W	YOR261C
YLR320W	YDL014W
YBR123C	YPL007C
YEL052W	YLR305C
YGR245C	YDR174W
YFR015C	YLR258W
YKL160W	YGR285C
YKL212W	YMR083W
YKL093W	YDL085W
YLR347C	YOR098C
YMR239C	YDL141W
YCR043C	YDL095W
YJR063W	YPR010C
YLR258W	YJL132W
YPL001W	YLR262C-A
YHL025W	YNR023W
YER133W	YMR311C
YDR171W	YIL130W
YDL182W	YAL001C
YDL055C	YEL055C
YLR373C	YKL054C
YNL209W	YDR099W
YGL112C	YOL148C
YAL016W	YDL188C
YGL234W	YML014W
YPR171W	YBR109C
YNL059C	YGR086C
YIL043C	YJR094W-A
YFR052W	YGL095C
YNL186W	YGR251W
YJL081C	YPL129W
YLR455W	YDL014W
YNL005C	YLL032C
YNL287W	YPR117W
YNL067W	YNL112W
YBR088C	YJL204C
YMR229C	YNL061W
YMR075W	YBR009C
YLR438C-A	YEL015W
YIL148W	YKL104C
YPR134W	YPL151C
YPR161C	YOR294W
YER048W-A	YKL192C
YJR135C	YDR104C
YOL006C	YBR058C
YLR381W	YBL058W
YJL044C	YIL035C
YPL126W	YEL055C
YLR320W	YMR187C
YDL131W	YGL086W
YLR033W	YDR372C
YPL047W	YGL066W
YMR049C	YOR294W
YIL070C	YBL090W
YEL052W	YJL078C
YPR034W	YLR035C
YBR010W	YGR160W
YNL031C	YGL106W
YLR072W	YLL026W
YPL207W	YJR009C
YCR020W-B	YOL070C
YOR091W	YDR174W
YFR030W	YDR381W
YDR168W	YCR002C
YFR034C	YFR053C
YHR165C	YER029C
YGL105W	YHL009W-B
YJL047C	YMR072W
YHR090C	YOR244W
YOR061W	YBR079C
YLR330W	YDR381W
YKL126W	YPR171W
YDR101C	YOL142W
YGL061C	YKR083C
YNL186W	YBR156C
YKL010C	YBR127C
YER007C-A	YJR014W
YLR055C	YMR007W
YNL126W	YKL215C
YNL031C	YOR308C
YDL100C	YHR121W
YIL148W	YNL111C
YML056C	YGR062C
YNL097C	YJL081C
YPR171W	YOL139C
YOR244W	YFL024C
YOL059W	YDR304C
YOR081C	YIL148W
YOL142W	YOR076C
YKR078W	YLL005C
YER116C	YCR009C
YOR056C	YHR027C
YJL047C	YEL030W
YKL113C	YGL013C
YDR219C	YJL052W
YJL115W	YHR001W
YPL001W	YNL062C
YKR027W	YLR330W
YDR363W-A	YOR117W
YKR081C	YKL104C
YLR071C	YCR081W
YER162C	YDR174W
YGL048C	YPL004C
YHR172W	YAL047C
YJR010C-A	YAR073W
YOR117W	YMR313C
YML114C	YPL011C
YOR207C	YPR110C
YIL144W	YPR056W
YDR379W	YNL307C
YNR054C	YER025W
YNL287W	YMR146C
YGL120C	YLR424W
YLR203C	YPL146C
YBR130C	YBR109C
YLR429W	YJL076W
YDR168W	YHR099W
YOR058C	YHR121W
YPL004C	YDL097C
YLR398C	YCR087C-A
YKR048C	YER129W
YDL095W	YGR080W
YOL021C	YDL150W
YNR024W	YHR069C
YPR108W	YDR320C
YDR318W	YGL137W
YLR333C	YLR150W
YBL008W	YBR215W
YIL076W	YJR045C
YDL053C	YPR067W
YDR510W	YPR164W
YCR084C	YBL003C
YLR203C	YLR429W
YER105C	YDR129C
YHR118C	YNL088W
YLR258W	YOR026W
YOR308C	YDR473C
YGR198W	YLR222C
YPL155C	YHR158C
YDL190C	YPL270W
YDL101C	YGR061C
YJL072C	YOL146W
YLR410W	YLR175W
YKL129C	YFL052W
YGL234W	YGL090W
YOR097C	YGL245W
YOR048C	YDR326C
YBR172C	YNL288W
YEL056W	YLR259C
YOL139C	YKR059W
YJR135C	YMR083W
YBR079C	YAL017W
YNL317W	YDL131W
YPL022W	YDL029W
YDR171W	YER053C
YDR211W	YER025W
YGR158C	YGR195W
YIL043C	YER131W
YPL032C	YCL029C
YNL110C	YOR294W
YPL226W	YAL047C
YOR310C	YNL189W
YPL011C	YGR274C
YDR168W	YHL025W
YER063W	YIL070C
YNR011C	YPR178W
YDR044W	YDR174W
YOR123C	YBL060W
YDR129C	YLR347C
YDL095W	YNL138W
YGR185C	YNL306W
YJR070C	YAR003W
YDR101C	YDR099W
YPL064C	YLR275W
YMR213W	YOR159C
YER177W	YHR121W
YKL028W	YER110C
YNL220W	YJL026W
YJL021C	YMR207C
YJR011C	YHR193C
YDL126C	YHR194W
YBL047C	YJL148W
YDR353W	YHR106W
YDL148C	YBR143C
YLR179C	YGR086C
YDL112W	YPL220W
YBL074C	YHL009W-B
YIL103W	YDR165W
YKL191W	YDL118W
YJL180C	YNL315C
YPL004C	YJL095W
YDR234W	YLR192C
YJR104C	YDR141C
YMR186W	YJR009C
YGL011C	YJL001W
YCL031C	YGR090W
YDL182W	YDR174W
YER095W	YNL312W
YNL262W	YBL023C
YER018C	YMR117C
YNL189W	YPR194C
YDL040C	YHR089C
YBR279W	YIL035C
YGR086C	YIL159W
YDR496C	YBR142W
YBR079C	YML028W
YLR058C	YJR135C
YJR119C	YLR335W
YDR017C	YNL209W
YPL001W	YDR336W
YLR347C	YML014W
YPL001W	YOR058C
YDL019C	YJL207C
YGL078C	YLR197W
YBR159W	YPL146C
YCR053W	YMR294W-A
YBR009C	YDL014W
YLR320W	YLR432W
YLR249W	YAL029C
YDL103C	YGL245W
YMR186W	YBR196C
YCR082W	YGL207W
YPR161C	YHR121W
YPL181W	YDR007W
YMR186W	YHL009W-B
YPR161C	YDL060W
YLR320W	YJL052W
YPR180W	YLR259C
YER162C	YOR210W
YJL138C	YGR041W
YOL098C	YPR171W
YLL022C	YDR381W
YPL170W	YKR058W
YGL105W	YGL245W
YDR440W	YIL105C
YDL240W	YOL041C
YNL136W	YHR121W
YOR244W	YLR399C
YER022W	YNL236W
YDR121W	YOR355W
YKL035W	YCL059C
YLR182W	YAR019C
YOR138C	YBL009W
YLR442C	YDR381W
YPL009C	YEL026W
YMR075W	YPR023C
YDR075W	YDL021W
YCR043C	YPL146C
YGR177C	YGR130C
YDL103C	YIL075C
YFR010W	YBR112C
YDR172W	YER155C
YIL076W	YDR174W
YKL010C	YIL148W
YGL200C	YDL053C
YDR363W	YGL106W
YDR515W	YDR235W
YPL066W	YDL014W
YHR127W	YOR294W
YHR131C	YER125W
YJR059W	YOR257W
YJR060W	YDR347W
YMR075W	YNL209W
YDR060W	YDL014W
YDR063W	YLR429W
YDL225W	YJR076C
YDR510W	YGL055W
YFR040W	YKL015W
YGR128C	YGR200C
YCR066W	YML085C
YDL074C	YFR024C
YDR170C	YDR381W
YGR103W	YOR206W
YDR219C	YDR099W
YPR045C	YDR320C
YBR175W	YBR258C
YDR365C	YPR169W
YIL075C	YCR093W
YMR014W	YNL248C
YHR051W	YCR092C
YMR323W	YGR155W
YLR144C	YGR086C
YOL111C	YPL174C
YIL127C	YJR105W
YHR090C	YLR150W
YGR245C	YJL008C
YNL273W	YGL197W
YHR027C	YIL071C
YER110C	YAR002W
YGR129W	YLR249W
YIL148W	YEL034W
YDR234W	YGR285C
YKL160W	YDL122W
YLL022C	YDR174W
YOR340C	YPR110C
YPL195W	YLR150W
YIL063C	YDR087C
YFL018W-A	YPR057W
YLR258W	YLL060C
YDR365C	YKL015W
YPR103W	YIL035C
YIL043C	YPR067W
YGR063C	YGL004C
YBR123C	YGR047C
YFL014W	YJL173C
YLR096W	YGR090W
YHR039C	YDR381W
YDR507C	YLR314C
YHR077C	YHL009W-B
YDR440W	YOR206W
YDR052C	YBR010W
YBL071W-A	YCR009C
YCR008W	YNL106C
YJR098C	YBL058W
YLR132C	YER167W
YOL012C	YLR429W
YPL009C	YLR197W
YDL042C	YOR116C
YFR017C	YER177W
YFR003C	YER133W
YOR361C	YDR515W
YGL252C	YDR388W
YDL182W	YLR125W
YOR181W	YJL020C
YKR071C	YOR030W
YLL060C	YGR209C
YGR207C	YGL245W
YIL035C	YGL039W
YLR069C	YBR011C
YJL050W	YDL175C
YNL262W	YPL216W
YNL273W	YER126C
YPL004C	YDR262W
YOL013C	YLR153C
YJL138C	YGR103W
YDR515W	YGR013W
YNL162W	YKR048C
YOR144C	YJR068W
YFR024C	YNL262W
YIL103W	YML028W
YKR048C	YBL075C
YER088C	YNL091W
YDR172W	YML002W
YML012W	YLR197W
YML058W	YDR238C
YJL098W	YLR305C
YDR099W	YLR347C
YNL250W	YDR385W
YGR124W	YCL032W
YIL126W	YBR044C
YBL056W	YIL063C
YOR140W	YER177W
YLL011W	YDR388W
YPL028W	YGL009C
YDR156W	YPR110C
YPL240C	YPR135W
YDL053C	YPR052C
YDR507C	YHR107C
YIL103W	YHR121W
YNL238W	YDR381W
YBL003C	YHL024W
YDL182W	YPR080W
YJR104C	YJL034W
YGR232W	YKL145W
YHR027C	YOR259C
YJL124C	YNL118C
YLR258W	YKL207W
YGL070C	YDR322C-A
YIL156W	YJL018W
YER095W	YCR077C
YCL014W	YDR099W
YHR077C	YML014W
YDR097C	YOL090W
YBL039C	YLR387C
YDR515W	YKL012W
YGR135W	YGR253C
YGR095C	YHR139C
YDR385W	YMR182C
YIR001C	YMR229C
YNL162W	YLR113W
YMR239C	YNL138W
YDL216C	YDR328C
YMR037C	YDR174W
YKL127W	YMR066W
YNL153C	YNL292W
YDR176W	YMR205C
YDL115C	YJL140W
YGL067W	YHR121W
YNR024W	YOR001W
YNR051C	YEL034W
YLL050C	YGL063W
YLR119W	YPL065W
YJL157C	YLR180W
YIL043C	YOR086C
YML058W	YNL172W
YLR258W	YOL021C
YJL138C	YDR150W
YDL100C	YHL022C
YDL055C	YDR174W
YLR435W	YNL207W
YPR161C	YJL033W
YMR201C	YCR028C-A
YIR008C	YDR507C
YLR249W	YDR147W
YOR051C	YER049W
YDL182W	YDL070W
YLR262C	YPL048W
YML069W	YNL088W
YDR324C	YGR128C
YER007C-A	YBR152W
YHR206W	YGL207W
YGL048C	YHR135C
YBL036C	YNL247W
YOR319W	YML049C
YBR001C	YBR127C
YOL126C	YKL114C
YPR040W	YDR427W
YDL074C	YLL021W
YCR020W-B	YCR052W
YPR144C	YDR324C
YGR095C	YOR076C
YKR086W	YGL106W
YJR010C-A	YLR342W
YGL213C	YCR016W
YJL050W	YCR016W
YJL115W	YPL259C
YBR167C	YNL246W
YGL011C	YOL038W
YNL186W	YCR072C
YLR362W	YBL003C
YNL293W	YEL034W
YJR113C	YMR158W
YBL103C	YOL067C
YIL035C	YKR072C
YDL074C	YAL048C
YOR342C	YBL058W
YMR172W	YOR061W
YBR081C	YPL254W
YGR135W	YDR150W
YPR144C	YDL148C
YML010W	YOR355W
YLR335W	YNL208W
YDL147W	YDR055W
YLR335W	YCR009C
YPL047W	YBR198C
YPR161C	YJL081C
YGR123C	YLR069C
YNL312W	YFR037C
YEL012W	YOR061W
YBL003C	YLR150W
YNL299W	YMR229C
YNR016C	YOR100C
YDL182W	YPR052C
YDR474C	YDR475C
YMR014W	YJL033W
YGL173C	YGL120C
YOR144C	YGR086C
YLR258W	YIL105C
YHR039C	YDR174W
YIL063C	YNL084C
YDL147W	YBL054W
YEL037C	YKL145W
YGL252C	YNL076W
YIL148W	YLR175W
YJR119C	YLL040C
YHR090C	YBL002W
YNL113W	YPR010C
YLR435W	YER131W
YNL250W	YNR053C
YLR115W	YNL317W
YPL220W	YKR048C
YDR303C	YKR008W
YKR083C	YMR083W
YIR010W	YDL027C
YOR138C	YLL029W
